"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"Camas, Sevilla","Sevilla","9231373","Municipality of Camas","Municipality of Camas,Andalusia,Spain","Municipality"
"Cambados, Pontevedra","Pontevedra","9234627","Cambados","Cambados,Galicia,Spain","Municipality"
"Cambre, A Coruña","A Coruña","9218356","Cambre","Cambre,Galicia,Spain","Municipality"
"Cambrils, Tarragona","Tarragona","9197598","Cambrils","Cambrils,Catalonia,Spain","City"
"Campanet, Baleares","Baleares","9216530","Campanet","Campanet,Balearic Islands,Spain","Municipality"
"Campo Lameiro, Pontevedra","Pontevedra","9217131","Campo Lameiro","Campo Lameiro,Galicia,Spain","Municipality"
"Campoo de Yuso, Cantabria","Cantabria","9221447","Campoo de Yuso","Campoo de Yuso,Cantabria,Spain","Municipality"
"Campos, Baleares","Baleares","9220218","Campos","Campos,Balearic Islands,Spain","Municipality"
"Canals, Valencia","Valencia","9049023","Canals","Canals,Valencian Community,Spain","City"
"Canet d'En Berenguer, Valencia","Valencia","9252494","Canet d'en Berenguer","Canet d'en Berenguer,Valencian Community,Spain","Municipality"
"Canet de Mar, Barcelona","Barcelona","9243445","Canet de Mar","Canet de Mar,Catalonia,Spain","Municipality"
"Cangas de Onís, Asturias","Asturias","9249609","Cangas de Onis","Cangas de Onis,Asturias,Spain","Municipality"
"Cangas del Narcea, Asturias","Asturias","9217931","Cangas del Narcea","Cangas del Narcea,Asturias,Spain","Municipality"
"Cangas, Pontevedra","Pontevedra","9225981","Cangas","Cangas,Galicia,Spain","Municipality"
"Caniles, Granada","Granada","9210671","Caniles","Caniles,Andalusia,Spain","Municipality"
"Cantillana, Sevilla","Sevilla","9213605","Cantillana","Cantillana,Andalusia,Spain","Municipality"
"Canyelles, Barcelona","Barcelona","9211120","Canyelles","Canyelles,Catalonia,Spain","Municipality"
"Capdepera, Baleares","Baleares","9217567","Capdepera","Capdepera,Balearic Islands,Spain","Municipality"
"Caravaca de la Cruz, Murcia","Murcia","9210965","Caravaca de la Cruz","Caravaca de la Cruz,Region of Murcia,Spain","City"
"Carballedo, Lugo","Lugo","9221319","Carballedo","Carballedo,Galicia,Spain","Municipality"
"Carballo, A Coruña","A Coruña","9216329","Carballo","Carballo,Galicia,Spain","Municipality"
"Carcaixent, Valencia","Valencia","9049024","Carcaixent","Carcaixent,Valencian Community,Spain","City"
"Cardedeu, Barcelona","Barcelona","9256314","Cardedeu","Cardedeu,Catalonia,Spain","Municipality"
